"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2758","RT @abc13houston: When Houston was in need, we didn't even need to call the Cajuns, they just came and helped us. Now, they need something…",FALSE,0,NA,2018-01-27 20:11:54,FALSE,NA,"957345440269262848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akalynx_c",24,TRUE,FALSE,NA,NA
"2759","@wexfordgc has left a boat which got swept up in the hurricane! A reminder of the force of nature and a cool touch <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> https://t.co/fggJVVSBl8",FALSE,0,NA,2018-01-27 20:11:53,FALSE,NA,"957345439044526081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JonathanYarwood",0,FALSE,FALSE,NA,NA
"2760","RT @memearchive: California on fire
Texas flooded with water
Idaho having an earthquake
Florida having hurricane wind

We need Aang to save…",FALSE,0,NA,2018-01-27 20:11:53,FALSE,NA,"957345438578995200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhatYouEgg",237,TRUE,FALSE,NA,NA
"2761","RT @morninggloria: Fuck Harvey Weinstein and fuck Steve Wynn and if you think one deserves condemnation and the other doesn’t: fuck you",FALSE,0,NA,2018-01-27 20:11:53,FALSE,NA,"957345435341017089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NamrataSinghMcG",145,TRUE,FALSE,NA,NA
"2762","RT @mxtthewt: In September 2017, Ariana donated $500,000 to the Houston Food Bank to help aid those in Houston, Texas recover from Hurrican…",FALSE,0,NA,2018-01-27 20:11:48,FALSE,NA,"957345415501963266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AriJayJariana",8,TRUE,FALSE,NA,NA
"2763","RT @usedtobeafreer: Shouldn't they be outside Harvey Weinstein's office? Or in Hollywood? MSU? https://t.co/pqp39f3anX",FALSE,0,NA,2018-01-27 20:11:47,FALSE,NA,"957345410384826368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peterboykin",3,TRUE,FALSE,NA,NA
"2764","RT @NMartinBreteau: The December 2017 podcast of @JournAmHist addresses the history of Puerto Rico and the Puerto Rican diaspora. An excell…",FALSE,0,NA,2018-01-27 20:11:46,FALSE,NA,"957345406668558337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","davidmprior78",6,TRUE,FALSE,NA,NA
"2765","RT @washingtonpost: Will RNC return Steve Wynn’s donations after calling on DNC to return Harvey Weinstein’s https://t.co/CmL04lo4wh",FALSE,0,NA,2018-01-27 20:11:45,FALSE,NA,"957345401689931776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DylanJMSimpson",3662,TRUE,FALSE,NA,NA
"2766","RT @fun_soy: A great start to the week - with our first re-order of 2018 from Harvey Nichols... where it all started! Thanks guys! 

#Monda…",FALSE,0,NA,2018-01-27 20:11:44,FALSE,NA,"957345400477945857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Emilian89714541",651,TRUE,FALSE,NA,NA
"2767","RT @Blair: Congrats to my boy @Harvey signed his Major Record Deal today with Universal Virgin EMI <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https://t.co/CrANYH5N9F",FALSE,0,NA,2018-01-27 20:11:39,FALSE,NA,"957345378818580480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Relliejay",404,TRUE,FALSE,NA,NA
